,variable,label,unique_values,variable_type
0,challengeID,,4242.0,
1,m1intmon,Mother interview month,1.0,categorical
2,m1intyr,Mother interview year,0.0,unknown
3,m1lenhr,What was the total length of interview - Hours,9.0,continuous
4,m1lenmin,What was the total length of interview - Minutes,60.0,continuous
5,cm1twoc,Constructed - Two cities flag,0.0,unknown
6,cm1fint,Constructed - Was father interviewed?,3.0,categorical
7,cm1tdiff,Constructed - time difference between mother and father interview dates,0.0,unknown
8,cm1natsm,Constructed - Baseline national sample flag,0.0,unknown
9,m1natwt,Mother baseline national weight,0.0,unknown
10,cm1natsmx,Constructed - Baseline national sample flag (excluding one city),0.0,unknown
11,m1natwtx,Mother baseline national weight (excluding one city),0.0,unknown
12,cm1citsm,Constructed - Baseline city sample flag,2.0,categorical
13,m1citywt,Mother baseline city weight (20-cities population),1867.0,continuous
14,innatsm,In national sample,2.0,categorical
15,incitysm,In city sample,2.0,categorical
16,m1a3,Have you picked up a (name/names) for the (baby/babies) yet?,4.0,categorical
17,m1a4,Is respondent married to baby's father?,4.0,categorical
18,m1a5,Will the baby (babies) have the father's last name?,7.0,categorical
19,m1a6,Will the father's name be on the birth certificate?,6.0,categorical
20,m1a7,Has BF visited you in the hospital?,6.0,categorical
21,m1a8,When are you going home?,8.0,categorical
22,m1a9,Do you feel ready to go home or would you rather stay longer?,6.0,categorical
23,m1a10,Int chk: Is respondent married to (BF)?,3.0,categorical
24,m1a11a,Will the baby live with mother?,6.0,categorical
25,m1a11b,Will the baby live with father?,6.0,categorical
26,m1a11c,Will baby live with other relatives?,6.0,categorical
27,m1a11d,Will baby live with non-relatives?,6.0,categorical
28,m1a12,Do you have other biological children?,4.0,categorical
29,m1a12a,How many other biological children do you have?,17.0,continuous
30,m1a13,Did you visit a doctor/other health care professional to check on the pregnancy?,4.0,categorical
31,m1a13a,In which month of pregnancy did you 1st see doctor/other health care provider?,1.0,continuous
32,m1a15,How are you paying for the baby's birth?,11.0,categorical
33,m1a16,Who does the baby looks like?,12.0,categorical
34,cm1age,Constructed - Mother's age (years),31.0,continuous
35,cm1bsex,Constructed - Focal baby's gender,3.0,categorical
36,cm1lbw,Constructed - Low Birth Weight?,5.0,categorical
37,cm1numb,Constructed - Number of babies born at current birth,3.0,categorical
38,m1b0,Int chk: Is father unknown?,3.0,categorical
39,m1b1a,How many years did you know Baby's Father before you got pregnant?,40.0,continuous
40,m1b1b,How many months did you know Baby's Father before you got pregnant?,18.0,continuous
41,m1b2,Int chk: Is respondent married (OFFICIAL MARRIAGE VARIABLE)?,4.0,categorical
42,m1b3,Which statement best describes your current relationship with Baby's Father?,9.0,categorical
43,m1b4a,"Why did rom rel end with (BF), Financial Reasons(Don't have work,money)?",7.0,categorical
44,m1b4b,"Why did rom rel end with (BF), Distance (Don't live in same town)?",7.0,categorical
45,m1b4c,"Why did rom rel end with (BF), Incarceration ?",7.0,categorical
46,m1b4d,"Why did rom rel end with (BF), Relationship Reasons ?",7.0,categorical
47,m1b4e,"Why did rom rel end with (BF), Drug problem ?",7.0,categorical
48,m1b4f,"Why did rom rel end with (BF), Violence, Abuse ?",7.0,categorical
49,m1b4g,"Why did rom rel end with (BF), Other?",9.0,categorical
50,m1b5a,"In last mo did you and BF, visit with friends?",6.0,categorical
51,m1b5b,"In last mo did you and BF, go out for entertainment(movie,sports)",6.0,categorical
52,m1b5c,"In last mo did you and BF, eat out in a restaurant?",6.0,categorical
53,m1b5d,"In last mo did you and BF, help each other solve a problem?",7.0,categorical
54,m1b6a,When you and BF tgthr how often did you disagree about money?,7.0,categorical
55,m1b6b,When you and BF tgthr how often did you disagree about spending time?,7.0,categorical
56,m1b6c,When you and BF tgthr how often did you disagree about sex?,8.0,categorical
57,m1b6d,When you and BF tgthr how often did you disagree about the pregnancy?,8.0,categorical
58,m1b6e,When you and BF tgthr how often did you disagree about alcoh/drug use?,7.0,categorical
59,m1b6f,When you and BF tgthr how often did you disagree about being faithful?,7.0,categorical
60,m1b7a,How often BF was fair and willing to compromise?,1.0,categorical
61,m1b7b,How often did BF hit you when he was angry?,1.0,categorical
62,m1b7c,How often did BF expressed affection or love to you?,1.0,categorical
63,m1b7d,How often did BF criticized you or your ideas?,1.0,categorical
64,m1b7e,How often did BF encourage you do things that were important to you?,1.0,categorical
65,m1b8,Are you and BF living together now?,5.0,categorical
66,m1b9,Do you and BF have plans to live together or marry in the future?,6.0,categorical
67,m1b9a1,"Reasons no plan to live tgthr, No need to marry?",6.0,categorical
68,m1b9a2,"Reasons no plan to live tgthr, Timing problem ?",6.0,categorical
69,m1b9a3,"Reason no plan to live tgthr, Financial Reasons ?",6.0,categorical
70,m1b9a4,"Reasons no plan to live tgthr, Distance ?",6.0,categorical
71,m1b9a5,"Reasons no plan to live tgthr, Incarceration ?",6.0,categorical
72,m1b9a6,"Reasons no plan to live tgthr, Housing reasons ?",6.0,categorical
73,m1b9a7,"Reason  no plan to live tgthr, Relationship reasons ?",6.0,categorical
74,m1b9a8,"Reasons no plan to live tgthr, Drug problem ?",6.0,categorical
75,m1b9a9,"Reasons no plan to live tgthr, Violence, abuse ?",6.0,categorical
76,m1b9a10,"Reasons no plan to live tgthr, Haven't talked about it ?",6.0,categorical
77,m1b9a11,"Reasons no plan to live tgthr, Other specify ?",7.0,categorical
78,m1b9b1,"Reasons aren't living tgthr, No need to marry ?",6.0,categorical
79,m1b9b2,"Reasons aren't living tgthr, Timing problem ?",6.0,categorical
80,m1b9b3,"Reasons aren't living tgthr, Financial Reasons ?",6.0,categorical
81,m1b9b4,"Reasons aren't living tgthr, Distance ?",6.0,categorical
82,m1b9b5,"Reasons aren't living tgthr, Incarceration ?",6.0,categorical
83,m1b9b6,"Reasons aren't living tgthr, Housing reasons ?",6.0,categorical
84,m1b9b7,"Reasons aren't living tgthr, Relationship reasons ?",6.0,categorical
85,m1b9b8,"Reasons aren't living tgthr, Drug problem ?",6.0,categorical
86,m1b9b9,"Reasons aren't living tgthr, Violence, abuse ?",6.0,categorical
87,m1b9b10,"Reasons aren't living tgthr, Haven't talked about it ?",6.0,categorical
88,m1b9b11,"Reasons aren't living tgthr, Other specify?",7.0,unknown
89,m1b10,Do you and BF have plans to marry in the future?,7.0,categorical
90,m1b10a1,"Reasons no plan to marry, No need to marry ?",5.0,categorical
91,m1b10a2,"Reason no plan to marry, Timing problem ?",5.0,categorical
92,m1b10a3,"Reason no plan to marry, Financial reasons ?",5.0,categorical
93,m1b10a4,"Reason no plan to marry, Distance ?",5.0,categorical
94,m1b10a5,"Reason no plan to marry, Incarceration?",5.0,categorical
95,m1b10a6,"Reason no plan to marry, Housing reasons ?",5.0,categorical
96,m1b10a7,"Reason no plan to marry, Relationship reasons ?",5.0,categorical
97,m1b10a8,"Reason no plan to marry, Drug problem?",5.0,categorical
98,m1b10a9,"Reason no plan to marry, Violence, abuse?",4.0,categorical
99,m1b10a10,"Reason no plan to marry, Haven't talked about it ?",5.0,categorical
100,m1b10a11,"Reason no plan to marry, Other specify?",6.0,unknown
101,m1b10b1,"Reasons aren't married now, No need to marry ?",5.0,categorical
102,m1b10b2,"Reasons aren't married now, Timing problem ?",5.0,categorical
103,m1b10b3,"Reasons aren't married now, Financial Reasons ?",5.0,categorical
104,m1b10b4,"Reasons aren't married now, Distance ?",5.0,categorical
105,m1b10b5,"Reasons aren't married now, Incarceration?",5.0,categorical
106,m1b10b6,"Reasons aren't married now, Housing reasons ?",5.0,categorical
107,m1b10b7,"Reasons aren't married now, Relationship reasons ?",5.0,categorical
108,m1b10b8,"Reasons aren't married now, Drug problem?",5.0,categorical
109,m1b10b9,"Reasons aren't married now, Violence, abuse?",4.0,categorical
110,m1b10b10,"Reasons aren't married now, Haven't talked about it?",5.0,categorical
111,m1b10b11,"Reasons aren't married now, Other specify?",7.0,categorical
112,m1b11a,"In last mo, did you and BF visited with friends?",5.0,categorical
113,m1b11b,"In last mo, did you and BF went out for entertainment(movie,sport)?",5.0,categorical
114,m1b11c,"In last mo, did you and BF eat out in a restaurant?",5.0,categorical
115,m1b11d,"In last mo, did you and BF did help each other to solve a problem?",6.0,categorical
116,m1b12a,"In last mo, how often did you and BF disagree about money?",7.0,categorical
117,m1b12b,"In last mo, how often did you and BF disagree about spending time?",7.0,categorical
118,m1b12c,"In last mo, how often did you and BF disagree about sex?",7.0,categorical
119,m1b12d,"In last mo, how often did you and BF disagree about the pregnancy?",7.0,categorical
120,m1b12e,"In last mo, how often did you and BF disagree about drug/alc use?",8.0,categorical
121,m1b12f,"In last mo, how often did you and BF disagree about being faithful?",8.0,categorical
122,m1b13a,How often is BF fair and willing to compromise?,1.0,categorical
123,m1b13b,How often does BF hit or slaps you when he is angry?,1.0,categorical
124,m1b13c,How often does BF expresses affection or love for you?,1.0,categorical
125,m1b13d,"How often, BF insults or criticizes you or your ideas?",1.0,categorical
126,m1b13e,"How often, BF encourages you or help you do things that are imprt to you?",1.0,categorical
127,m1b14,What are the chances that you will marry BF in the future?,10.0,categorical
128,m1b14a,What do you think are the chances that you will ever marry someone?,10.0,categorical
129,m1b15a,"How life diff if married BF, financial security?",10.0,categorical
130,m1b15b,"How life diff if married BF, overall happiness?",10.0,categorical
131,m1b15c,"How life diff if married BF, freedom?",10.0,categorical
132,m1b15d,"How life diff if married BF, control over money?",10.0,categorical
133,m1b15e,"How life diff if married BF, sex life?",10.0,categorical
134,m1b15f,"How life diff if married BF, relations w/parents?",11.0,categorical
135,m1b16,During preg did BF give money to buy things for baby/babies?,7.0,categorical
136,m1b17,"Did BF help you in any other way (transportation, etc)?",6.0,categorical
137,m1b18,Do you want BF involved in raising your child (children)?,7.0,categorical
138,m1b19,Does BF want to be involved in raising your child?,8.0,categorical
139,m1b20,Int chk: Are mother and father living together?,7.0,categorical
140,m1b21,Has BF told you that he will provide support for the baby?,7.0,categorical
141,m1b21a,How much money per mo did BF say he would provide?,38.0,continuous
142,m1b22a,"In last mo, did you and BF visit with friends?",5.0,categorical
143,m1b22b,"In last mo, did you and BF go out for entertainment (movie,sport)?",5.0,categorical
144,m1b22c,"In last mo, did you and BF ate out in a restaurant?",5.0,categorical
145,m1b22d,"In last mo, did you and BF help each other solve a problem?",5.0,categorical
146,m1b23a,"In last mo, how often did you and BF disagree on money?",6.0,categorical
147,m1b23b,"In last mo, how often did you and BF disagree on spending time?",6.0,categorical
148,m1b23c,"In last mo, how often did you and BF disagree on sex?",7.0,categorical
149,m1b23d,"In last mo, how often did you and BF disagree on pregnancy?",6.0,categorical
150,m1b23e,"In last mo, how often did you and BF disagree on drug/alco use?",6.0,categorical
151,m1b23f,"In last mo, how often did you and BF disagree on being faithful?",6.0,categorical
152,m1b24a,If you were not married to BF how different your life be? financial security?,9.0,categorical
153,m1b24b,"How life diff if NOT married BF, overall happiness?",9.0,categorical
154,m1b24c,"How life diff if NOT married BF, your freedom?",9.0,categorical
155,m1b24d,"How life diff if NOT married BF, control over money?",9.0,categorical
156,m1b24e,"How life diff if NOT married BF, your sex life?",10.0,categorical
157,m1b24f,"How life diff if NOT married BF, w/parents?",11.0,categorical
158,m1b25a,How often is BF fair and willing to compromise?,1.0,categorical
159,m1b25b,How often does BF hit or slaps you when he is angry?,1.0,categorical
160,m1b25c,How often does BF expresses affection or love for you?,1.0,categorical
161,m1b25d,How often does BF insults or criticized you or your ideas?,1.0,categorical
162,m1b25e,How often does BF encourages you or help you do things that are imprt to you?,1.0,categorical
163,m1b26,"After you found out you were pregnant,how did your relationship with BF changed?",8.0,categorical
164,m1b27,"When you found out you were pregnant, did you think about having an abortion?",6.0,categorical
165,m1b28,Did BF suggest that you have an abortion?,7.0,categorical
166,cm1relf,Constructed-Household Relationship-mother,9.0,categorical
167,cm1marf,Constructed - Is respondent married?,3.0,categorical
168,cm1cohf,Constructed - Is mother cohabiting with baby's father - not including marrieds?,4.0,categorical
169,m1c1a,How imp is it for BF to provide regular financial support to children?,6.0,categorical
170,m1c1b,How imp is it for BF to teach B about life?,6.0,categorical
171,m1c1c,How imp is it for BF to provide direct care to B,6.0,categorical
172,m1c1d,How imp is it for BF to show love and affection to the child?,5.0,categorical
173,m1c1e,How imp is it for BF to provide protection for child?,6.0,categorical
174,m1c1f,How imp is it for BF to serve as authority figure and discipline the child?,6.0,categorical
175,m1c2,Which of the statements above (Q. c1a-c1f) is most important to you?,10.0,categorical
176,m1c2a,Which of the statements above (Q. c1a-c1f) is least imprtant to you?,10.0,categorical
177,m1c3a,If BF provides fin. supp. to BM should he have the right to see the child?,5.0,categorical
178,m1c3b,If BF provides fin. supp. to BM should he make decisions about the child?,5.0,categorical
179,m1c4a,"If BF can afford fin. supp. but doesn't,should he have the right to see child?",6.0,categorical
180,m1c4b,"If BF can afford fin. supp. but doesn't,should he make decisions about child?",6.0,categorical
181,m1c5a,If BF can't afford to provide fin. supp. should he have the right to see child?,6.0,categorical
